Canada-Ontario, Deaths (period 5x1), 	Last modified: 28 May 2025;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
  1921           0              2848.11         3926.03         6774.14
  1921         1-4               834.91          957.96         1792.87
  1921         5-9               417.46          512.05          929.51
  1921        10-14              271.28          258.53          529.81
  1921        15-19              309.34          391.79          701.13
  1921        20-24              427.46          431.88          859.34
  1921        25-29              513.56          508.03         1021.59
  1921        30-34              493.54          463.94          957.48
  1921        35-39              592.65          556.13         1148.78
  1921        40-44              560.61          573.17         1133.78
  1921        45-49              584.63          586.19         1170.82
  1921        50-54              714.78          759.55         1474.33
  1921        55-59              769.84          911.86         1681.70
  1921        60-64              996.09         1143.34         2139.43
  1921        65-69             1178.29         1228.52         2406.81
  1921        70-74             1359.49         1473.02         2832.51
  1921        75-79             1349.47         1359.79         2709.26
  1921        80-84             1125.24         1063.17         2188.41
  1921        85-89              738.80          669.37         1408.17
  1921        90-94              304.32          215.44          519.76
  1921        95-99               81.09           56.11          137.20
  1921       100-104              16.97           14.99           31.96
  1921       105-109               1.05            1.03            2.08
  1921       110+                  0.00            0.00            0.00
  1922           0              2511.15         3426.33         5937.48
  1922         1-4               777.29          910.27         1687.56
  1922         5-9               328.54          389.40          717.94
  1922        10-14              229.39          269.97          499.36
  1922        15-19              308.50          335.20          643.70
  1922        20-24              441.73          410.47          852.20
  1922        25-29              464.78          450.62          915.40
  1922        30-34              508.85          459.65          968.50
  1922        35-39              552.91          525.89         1078.80
  1922        40-44              566.94          535.92         1102.86
  1922        45-49              629.05          603.17         1232.22
  1922        50-54              708.16          688.48         1396.64
  1922        55-59              806.33          948.40         1754.73
  1922        60-64             1021.70         1167.19         2188.89
  1922        65-69             1172.94         1377.96         2550.90
  1922        70-74             1383.29         1592.74         2976.03
  1922        75-79             1485.46         1416.11         2901.57
  1922        80-84             1244.05         1160.17         2404.22
  1922        85-89              766.26          734.64         1500.90
  1922        90-94              316.52          231.84          548.36
  1922        95-99               78.12           64.24          142.36
  1922       100-104               6.02           22.66           28.68
  1922       105-109               0.00            4.46            4.46
  1922       110+                  0.00            0.00            0.00
  1923           0              2537.95         3423.51         5961.46
  1923         1-4               806.94          889.21         1696.15
  1923         5-9               345.40          370.91          716.31
  1923        10-14              221.26          267.67          488.93
  1923        15-19              316.38          351.87          668.25
  1923        20-24              398.46          379.94          778.40
  1923        25-29              456.53          468.16          924.69
  1923        30-34              474.56          460.14          934.70
  1923        35-39              578.67          574.42         1153.09
  1923        40-44              540.62          547.35         1087.97
  1923        45-49              651.75          623.54         1275.29
  1923        50-54              727.84          747.85         1475.69
  1923        55-59              912.07         1040.59         1952.66
  1923        60-64             1143.33         1301.23         2444.56
  1923        65-69             1329.55         1491.71         2821.26
  1923        70-74             1505.76         1628.05         3133.81
  1923        75-79             1619.88         1540.83         3160.71
  1923        80-84             1337.56         1236.08         2573.64
  1923        85-89              868.01          771.91         1639.92
  1923        90-94              324.38          254.63          579.01
  1923        95-99               74.08           66.15          140.23
  1923       100-104              13.01           14.79           27.80
  1923       105-109               0.00            1.27            1.27
  1923       110+                  0.00            0.00            0.00
  1924           0              2365.23         3061.41         5426.64
  1924         1-4               662.62          798.68         1461.30
  1924         5-9               288.27          321.66          609.93
  1924        10-14              224.21          265.56          489.77
  1924        15-19              302.28          340.71          642.99
  1924        20-24              403.37          394.83          798.20
  1924        25-29              419.40          374.78          794.18
  1924        30-34              447.42          419.89          867.31
  1924        35-39              548.51          493.03         1041.54
  1924        40-44              513.48          543.14         1056.62
  1924        45-49              600.56          608.28         1208.84
  1924        50-54              727.69          705.48         1433.17
  1924        55-59              810.76          861.80         1672.56
  1924        60-64             1079.02         1230.57         2309.59
  1924        65-69             1260.19         1483.10         2743.29
  1924        70-74             1426.36         1552.24         2978.60
  1924        75-79             1404.32         1513.17         2917.49
  1924        80-84             1201.13         1206.53         2407.66
  1924        85-89              802.76          648.36         1451.12
  1924        90-94              323.30          253.53          576.83
  1924        95-99               90.08           67.14          157.22
  1924       100-104              21.70            9.03           30.73
  1924       105-109               2.33            0.00            2.33
  1924       110+                  0.00            0.00            0.00
  1925           0              2431.48         3104.41         5535.89
  1925         1-4               712.44          729.03         1441.47
  1925         5-9               257.17          371.53          628.70
  1925        10-14              223.15          268.38          491.53
  1925        15-19              285.18          348.50          633.68
  1925        20-24              424.26          377.53          801.79
  1925        25-29              444.26          395.56          839.82
  1925        30-34              460.29          399.58          859.87
  1925        35-39              485.31          481.69          967.00
  1925        40-44              556.34          547.79         1104.13
  1925        45-49              588.36          638.91         1227.27
  1925        50-54              691.42          719.02         1410.44
  1925        55-59              814.50          939.33         1753.83
  1925        60-64             1102.67         1204.71         2307.38
  1925        65-69             1336.81         1555.21         2892.02
  1925        70-74             1526.94         1644.33         3171.27
  1925        75-79             1490.91         1550.21         3041.12
  1925        80-84             1290.78         1201.70         2492.48
  1925        85-89              828.51          743.05         1571.56
  1925        90-94              328.19          279.40          607.59
  1925        95-99               87.05           66.10          153.15
  1925       100-104              11.01           16.32           27.33
  1925       105-109               0.00            0.71            0.71
  1925       110+                  0.00            0.00            0.00
  1926           0              2272.64         3038.64         5311.28
  1926         1-4               707.83          780.71         1488.54
  1926         5-9               294.33          340.73          635.06
  1926        10-14              219.25          277.60          496.85
  1926        15-19              316.37          373.82          690.19
  1926        20-24              399.46          359.79          759.25
  1926        25-29              405.47          377.82          783.29
  1926        30-34              489.57          373.81          863.38
  1926        35-39              541.63          569.24         1110.87
  1926        40-44              540.64          629.37         1170.01
  1926        45-49              664.77          722.58         1387.35
  1926        50-54              730.84          808.76         1539.60
  1926        55-59              918.08          966.11         1884.19
  1926        60-64             1215.41         1346.94         2562.35
  1926        65-69             1439.67         1641.58         3081.25
  1926        70-74             1625.89         1856.05         3481.94
  1926        75-79             1648.91         1777.89         3426.80
  1926        80-84             1400.62         1350.95         2751.57
  1926        85-89              907.05          779.70         1686.75
  1926        90-94              334.40          277.60          612.00
  1926        95-99               93.11           59.14          152.25
  1926       100-104              20.50           11.74           32.24
  1926       105-109               1.54            0.29            1.83
  1926       110+                  0.00            0.00            0.00
  1927           0              2081.02         2740.17         4821.19
  1927         1-4               627.61          689.80         1317.41
  1927         5-9               267.26          390.02          657.28
  1927        10-14              233.23          298.78          532.01
  1927        15-19              310.31          306.81          617.12
  1927        20-24              383.37          383.00          766.37
  1927        25-29              424.42          430.13          854.55
  1927        30-34              456.44          399.05          855.49
  1927        35-39              553.54          549.43         1102.97
  1927        40-44              572.56          583.53         1156.09
  1927        45-49              674.66          743.94         1418.60
  1927        50-54              697.68          830.16         1527.84
  1927        55-59              856.83         1111.91         1968.74
  1927        60-64             1157.11         1298.40         2455.51
  1927        65-69             1492.44         1699.45         3191.89
  1927        70-74             1469.43         1825.79         3295.22
  1927        75-79             1583.54         1702.44         3285.98
  1927        80-84             1294.25         1271.32         2565.57
  1927        85-89              890.86          691.82         1582.68
  1927        90-94              330.32          288.76          619.08
  1927        95-99               91.09           62.16          153.25
  1927       100-104              20.77            8.02           28.79
  1927       105-109               1.25            0.00            1.25
  1927       110+                  0.00            0.00            0.00
  1928           0              2146.82         2741.75         4888.57
  1928         1-4               607.51          701.73         1309.24
  1928         5-9               272.23          368.91          641.14
  1928        10-14              236.20          252.62          488.82
  1928        15-19              321.28          404.01          725.29
  1928        20-24              441.37          481.18          922.55
  1928        25-29              454.37          483.18          937.55
  1928        30-34              526.45          448.10          974.55
  1928        35-39              546.47          530.30         1076.77
  1928        40-44              622.53          684.69         1307.22
  1928        45-49              687.59          790.94         1478.53
  1928        50-54              797.67          937.30         1734.97
  1928        55-59              957.81         1122.77         2080.58
  1928        60-64             1202.02         1405.47         2607.49
  1928        65-69             1501.28         1819.48         3320.76
  1928        70-74             1720.46         1877.62         3598.08
  1928        75-79             1766.49         1852.55         3619.04
  1928        80-84             1443.23         1356.33         2799.56
  1928        85-89              915.78          803.99         1719.77
  1928        90-94              399.34          307.75          707.09
  1928        95-99               92.08           70.17          162.25
  1928       100-104              12.01           15.41           27.42
  1928       105-109               0.00            0.63            0.63
  1928       110+                  0.00            0.00            0.00
  1929           0              2263.76         2945.80         5209.56
  1929         1-4               708.23          816.60         1524.83
  1929         5-9               312.12          377.73          689.85
  1929        10-14              229.08          279.55          508.63
  1929        15-19              319.11          453.89          773.00
  1929        20-24              425.14          479.94          905.08
  1929        25-29              434.14          455.90          890.04
  1929        30-34              469.16          465.92          935.08
  1929        35-39              531.18          586.17         1117.35
  1929        40-44              598.20          715.41         1313.61
  1929        45-49              679.23          811.60         1490.83
  1929        50-54              811.28          986.95         1798.23
  1929        55-59              881.29         1119.20         2000.49
  1929        60-64             1149.38         1441.84         2591.22
  1929        65-69             1578.52         1837.62         3416.14
  1929        70-74             1832.61         2013.95         3846.56
  1929        75-79             1804.61         1915.78         3720.39
  1929        80-84             1460.49         1426.81         2887.30
  1929        85-89              910.30          828.63         1738.93
  1929        90-94              343.11          238.47          581.58
  1929        95-99               90.02           73.13          163.15
  1929       100-104              11.00           10.03           21.03
  1929       105-109               0.00            0.00            0.00
  1929       110+                  0.00            0.00            0.00
  1930           0              2298.13         2965.14         5263.27
  1930         1-4               572.04          723.77         1295.81
  1930         5-9               277.00          412.45          689.45
  1930        10-14              215.00          267.28          482.28
  1930        15-19              337.00          422.45          759.45
  1930        20-24              409.02          500.53          909.55
  1930        25-29              420.02          441.46          861.48
  1930        30-34              434.03          452.47          886.50
  1930        35-39              526.05          586.62         1112.67
  1930        40-44              604.05          653.69         1257.74
  1930        45-49              683.05          815.85         1498.90
  1930        50-54              805.05          980.05         1785.10
  1930        55-59              970.05         1083.15         2053.20
  1930        60-64             1149.05         1411.50         2560.55
  1930        65-69             1532.09         1762.86         3294.95
  1930        70-74             1801.10         2079.20         3880.30
  1930        75-79             1704.10         1853.96         3558.06
  1930        80-84             1406.09         1299.37         2705.46
  1930        85-89              873.05          752.79         1625.84
  1930        90-94              365.01          286.32          651.33
  1930        95-99               90.00           58.06          148.06
  1930       100-104              14.65           16.81           31.46
  1930       105-109               0.33            1.21            1.54
  1930       110+                  0.00            0.00            0.00
  1931           0              2089.88         2748.16         4838.04
  1931         1-4               493.21          561.85         1055.06
  1931         5-9               189.07          311.48          500.55
  1931        10-14              199.09          229.35          428.44
  1931        15-19              264.11          357.54          621.65
  1931        20-24              420.17          429.65          849.82
  1931        25-29              392.17          486.73          878.90
  1931        30-34              416.17          470.72          886.89
  1931        35-39              539.22          488.74         1027.96
  1931        40-44              499.22          634.97         1134.19
  1931        45-49              628.27          840.27         1468.54
  1931        50-54              746.31         1024.54         1770.85
  1931        55-59              888.36         1183.80         2072.16
  1931        60-64             1168.48         1372.07         2540.55
  1931        65-69             1408.60         1761.66         3170.26
  1931        70-74             1754.74         1991.02         3745.76
  1931        75-79             1791.76         1832.78         3624.54
  1931        80-84             1386.58         1329.02         2715.60
  1931        85-89              850.36          761.15         1611.51
  1931        90-94              341.15          255.39          596.54
  1931        95-99               89.03           56.07          145.10
  1931       100-104              12.01           10.02           22.03
  1931       105-109               0.00            0.00            0.00
  1931       110+                  0.00            0.00            0.00
  1932           0              1780.72         2356.19         4136.91
  1932         1-4               453.19          542.73          995.92
  1932         5-9               199.09          282.37          481.46
  1932        10-14              172.05          234.32          406.37
  1932        15-19              270.12          367.50          637.62
  1932        20-24              356.15          404.54          760.69
  1932        25-29              397.17          410.56          807.73
  1932        30-34              426.16          407.55          833.71
  1932        35-39              507.20          531.70         1038.90
  1932        40-44              517.22          660.90         1178.12
  1932        45-49              672.27          768.03         1440.30
  1932        50-54              865.34         1008.36         1873.70
  1932        55-59              982.41         1183.60         2166.01
  1932        60-64             1177.47         1429.94         2607.41
  1932        65-69             1566.63         1720.33         3286.96
  1932        70-74             1964.79         2198.98         4163.77
  1932        75-79             1957.80         2044.77         4002.57
  1932        80-84             1593.65         1489.01         3082.66
  1932        85-89              950.40          801.09         1751.49
  1932        90-94              348.13          276.37          624.50
  1932        95-99              100.04           66.09          166.13
  1932       100-104              14.69           11.01           25.70
  1932       105-109               0.32            0.00            0.32
  1932       110+                  0.00            0.00            0.00
  1933           0              1627.29         2178.53         3805.82
  1933         1-4               410.08          532.37          942.45
  1933         5-9               163.05          230.16          393.21
  1933        10-14              147.03          194.14          341.17
  1933        15-19              229.05          265.20          494.25
  1933        20-24              345.05          378.26          723.31
  1933        25-29              404.07          346.25          750.32
  1933        30-34              374.06          378.26          752.32
  1933        35-39              488.09          472.33          960.42
  1933        40-44              576.10          610.43         1186.53
  1933        45-49              693.13          779.54         1472.67
  1933        50-54              803.14         1031.72         1834.86
  1933        55-59              917.16         1110.78         2027.94
  1933        60-64             1214.22         1390.98         2605.20
  1933        65-69             1553.28         1781.24         3334.52
  1933        70-74             1944.35         2103.47         4047.82
  1933        75-79             1952.35         2037.43         3989.78
  1933        80-84             1542.28         1515.06         3057.34
  1933        85-89              939.17          803.58         1742.75
  1933        90-94              391.06          278.19          669.25
  1933        95-99               84.01           60.05          144.06
  1933       100-104              14.01           11.01           25.02
  1933       105-109               0.00            0.00            0.00
  1933       110+                  0.00            0.00            0.00
  1934           0              1534.37         1990.70         3525.07
  1934         1-4               351.08          522.45          873.53
  1934         5-9               171.05          237.21          408.26
  1934        10-14              150.05          198.18          348.23
  1934        15-19              231.05          243.20          474.25
  1934        20-24              325.09          354.32          679.41
  1934        25-29              355.10          342.29          697.39
  1934        30-34              385.09          379.33          764.42
  1934        35-39              421.10          432.37          853.47
  1934        40-44              531.13          588.50         1119.63
  1934        45-49              609.14          785.68         1394.82
  1934        50-54              780.19         1044.89         1825.08
  1934        55-59              948.22         1234.06         2182.28
  1934        60-64             1230.31         1583.35         2813.66
  1934        65-69             1458.36         1813.55         3271.91
  1934        70-74             1969.47         2186.86         4156.33
  1934        75-79             1935.47         2173.85         4109.32
  1934        80-84             1558.39         1498.29         3056.68
  1934        85-89              946.23          783.66         1729.89
  1934        90-94              386.09          265.21          651.30
  1934        95-99               88.01           66.06          154.07
  1934       100-104              21.79            7.01           28.80
  1934       105-109               1.24            0.00            1.24
  1934       110+                  0.00            0.00            0.00
  1935           0              1518.18         1997.93         3516.11
  1935         1-4               369.04          487.21          856.25
  1935         5-9               186.01          248.12          434.13
  1935        10-14              154.00          239.10          393.10
  1935        15-19              223.03          296.14          519.17
  1935        20-24              315.05          325.15          640.20
  1935        25-29              377.05          358.17          735.22
  1935        30-34              388.05          403.18          791.23
  1935        35-39              483.05          460.21          943.26
  1935        40-44              533.05          643.29         1176.34
  1935        45-49              628.08          829.40         1457.48
  1935        50-54              853.10         1058.49         1911.59
  1935        55-59              992.11         1299.60         2291.71
  1935        60-64             1198.14         1509.70         2707.84
  1935        65-69             1571.18         1853.87         3425.05
  1935        70-74             1957.23         2278.06         4235.29
  1935        75-79             2120.26         2250.04         4370.30
  1935        80-84             1654.21         1581.74         3235.95
  1935        85-89              994.11          835.39         1829.50
  1935        90-94              414.05          261.11          675.16
  1935        95-99               95.00           57.03          152.03
  1935       100-104              11.99            7.99           19.98
  1935       105-109               0.00            0.00            0.00
  1935       110+                  0.00            0.00            0.00
  1936           0              1501.09         1915.96         3417.05
  1936         1-4               394.02          469.24          863.26
  1936         5-9               196.00          246.13          442.13
  1936        10-14              116.00          195.10          311.10
  1936        15-19              221.00          254.12          475.12
  1936        20-24              347.00          354.18          701.18
  1936        25-29              356.00          362.19          718.19
  1936        30-34              422.00          421.22          843.22
  1936        35-39              422.02          491.26          913.28
  1936        40-44              530.05          630.31         1160.36
  1936        45-49              632.05          834.42         1466.47
  1936        50-54              843.05         1149.59         1992.64
  1936        55-59             1031.05         1340.68         2371.73
  1936        60-64             1273.06         1604.79         2877.85
  1936        65-69             1670.10         1919.95         3590.05
  1936        70-74             2073.12         2313.16         4386.28
  1936        75-79             2296.13         2382.20         4678.33
  1936        80-84             1720.10         1701.85         3421.95
  1936        85-89             1083.07          935.47         2018.54
  1936        90-94              414.01          306.15          720.16
  1936        95-99               88.00           78.03          166.03
  1936       100-104              23.99           10.00           33.99
  1936       105-109               2.00            0.00            2.00
  1936       110+                  0.00            0.00            0.00
  1937           0              1480.17         1903.47         3383.64
  1937         1-4               406.05          466.35          872.40
  1937         5-9               177.01          249.20          426.21
  1937        10-14              146.00          247.20          393.20
  1937        15-19              237.02          281.21          518.23
  1937        20-24              357.05          404.31          761.36
  1937        25-29              350.05          398.31          748.36
  1937        30-34              356.05          448.35          804.40
  1937        35-39              456.05          552.42         1008.47
  1937        40-44              523.05          645.50         1168.55
  1937        45-49              670.07          925.71         1595.78
  1937        50-54              852.10         1124.88         1976.98
  1937        55-59             1013.11         1441.11         2454.22
  1937        60-64             1271.15         1754.35         3025.50
  1937        65-69             1608.18         2000.55         3608.73
  1937        70-74             2116.23         2285.76         4401.99
  1937        75-79             2258.25         2454.90         4713.15
  1937        80-84             1856.21         1802.38         3658.59
  1937        85-89             1107.13          945.72         2052.85
  1937        90-94              428.05          299.24          727.29
  1937        95-99              100.00           51.04          151.04
  1937       100-104              15.67            8.01           23.68
  1937       105-109               0.32            0.00            0.32
  1937       110+                  0.00            0.00            0.00
  1938           0              1395.41         1851.59         3247.00
  1938         1-4               359.11          369.32          728.43
  1938         5-9               142.04          214.18          356.22
  1938        10-14              148.05          210.17          358.22
  1938        15-19              196.06          295.25          491.31
  1938        20-24              267.09          316.26          583.35
  1938        25-29              341.10          359.31          700.41
  1938        30-34              332.10          405.34          737.44
  1938        35-39              419.12          462.39          881.51
  1938        40-44              499.15          614.53         1113.68
  1938        45-49              632.18          869.75         1501.93
  1938        50-54              765.22         1119.97         1885.19
  1938        55-59             1045.30         1404.21         2449.51
  1938        60-64             1214.36         1590.37         2804.73
  1938        65-69             1601.47         2059.76         3661.23
  1938        70-74             2047.60         2350.02         4397.62
  1938        75-79             2248.65         2341.02         4589.67
  1938        80-84             1759.52         1711.47         3470.99
  1938        85-89             1113.32          916.78         2030.10
  1938        90-94              421.13          272.23          693.36
  1938        95-99              117.03           67.06          184.09
  1938       100-104              11.00           12.68           23.68
  1938       105-109               0.00            0.33            0.33
  1938       110+                  0.00            0.00            0.00
  1939           0              1231.14         1749.89         2981.03
  1939         1-4               262.03          369.40          631.43
  1939         5-9               144.00          208.21          352.21
  1939        10-14              153.00          174.19          327.19
  1939        15-19              203.02          277.31          480.33
  1939        20-24              220.03          329.36          549.39
  1939        25-29              293.05          350.38          643.43
  1939        30-34              308.05          340.37          648.42
  1939        35-39              382.05          432.47          814.52
  1939        40-44              453.05          530.56          983.61
  1939        45-49              627.08          800.87         1427.95
  1939        50-54              814.10         1157.26         1971.36
  1939        55-59             1008.11         1433.55         2441.66
  1939        60-64             1287.14         1788.93         3076.07
  1939        65-69             1663.20         2137.32         3800.52
  1939        70-74             2069.24         2448.64         4517.88
  1939        75-79             2305.26         2460.66         4765.92
  1939        80-84             2018.23         1876.02         3894.25
  1939        85-89             1231.14         1039.11         2270.25
  1939        90-94              433.06          319.35          752.41
  1939        95-99               99.00           74.08          173.08
  1939       100-104              14.73           12.02           26.75
  1939       105-109               0.27            0.00            0.27
  1939       110+                  0.00            0.00            0.00
  1940           0              1274.36         1685.81         2960.17
  1940         1-4               265.07          343.17          608.24
  1940         5-9               123.04          203.09          326.13
  1940        10-14              143.04          174.09          317.13
  1940        15-19              173.05          317.16          490.21
  1940        20-24              209.05          331.16          540.21
  1940        25-29              283.08          304.14          587.22
  1940        30-34              324.10          343.16          667.26
  1940        35-39              396.11          499.23          895.34
  1940        40-44              466.13          581.28         1047.41
  1940        45-49              601.17          797.39         1398.56
  1940        50-54              880.25         1215.59         2095.84
  1940        55-59             1038.29         1619.76         2658.05
  1940        60-64             1332.38         1912.92         3245.30
  1940        65-69             1695.47         2230.08         3925.55
  1940        70-74             2110.60         2473.19         4583.79
  1940        75-79             2428.69         2444.18         4872.87
  1940        80-84             2024.56         1958.94         3983.50
  1940        85-89             1219.35         1055.51         2274.86
  1940        90-94              460.13          349.17          809.30
  1940        95-99              118.02           70.03          188.05
  1940       100-104              14.00           13.66           27.66
  1940       105-109               0.00            0.34            0.34
  1940       110+                  0.00            0.00            0.00
  1941           0              1384.23         1910.53         3294.76
  1941         1-4               277.05          329.09          606.14
  1941         5-9               140.03          202.05          342.08
  1941        10-14              119.01          192.05          311.06
  1941        15-19              165.04          290.08          455.12
  1941        20-24              221.05          379.10          600.15
  1941        25-29              258.05          359.10          617.15
  1941        30-34              281.05          351.10          632.15
  1941        35-39              366.05          482.13          848.18
  1941        40-44              460.07          614.17         1074.24
  1941        45-49              633.11          844.22         1477.33
  1941        50-54              801.13         1275.35         2076.48
  1941        55-59             1070.18         1561.45         2631.63
  1941        60-64             1336.22         1963.55         3299.77
  1941        65-69             1760.29         2217.62         3977.91
  1941        70-74             2093.34         2465.68         4559.02
  1941        75-79             2340.40         2534.71         4875.11
  1941        80-84             2122.37         2006.55         4128.92
  1941        85-89             1233.21         1130.33         2363.54
  1941        90-94              486.08          363.09          849.17
  1941        95-99              111.01           61.02          172.03
  1941       100-104              17.39           15.39           32.78
  1941       105-109               0.62            0.61            1.23
  1941       110+                  0.00            0.00            0.00
  1942           0              1349.99         1792.43         3142.42
  1942         1-4               234.17          337.45          571.62
  1942         5-9               103.08          169.22          272.30
  1942        10-14              104.08          144.19          248.27
  1942        15-19              180.13          313.43          493.56
  1942        20-24              224.17          382.53          606.70
  1942        25-29              291.22          306.42          597.64
  1942        30-34              303.22          330.46          633.68
  1942        35-39              371.27          417.57          788.84
  1942        40-44              424.31          614.83         1039.14
  1942        45-49              619.45          802.09         1421.54
  1942        50-54              812.60         1296.77         2109.37
  1942        55-59             1152.84         1645.23         2798.07
  1942        60-64             1410.02         1995.71         3405.73
  1942        65-69             1735.27         2322.15         4057.42
  1942        70-74             2075.51         2470.34         4545.85
  1942        75-79             2348.72         2515.41         4864.13
  1942        80-84             2090.53         1980.70         4071.23
  1942        85-89             1316.96         1077.46         2394.42
  1942        90-94              498.37          357.50          855.87
  1942        95-99              111.09           68.10          179.19
  1942       100-104              13.01            9.02           22.03
  1942       105-109               0.00            0.00            0.00
  1942       110+                  0.00            0.00            0.00
  1943           0              1455.92         1938.93         3394.85
  1943         1-4               257.16          348.71          605.87
  1943         5-9               116.06          178.36          294.42
  1943        10-14              121.09          167.34          288.43
  1943        15-19              144.09          322.65          466.74
  1943        20-24              245.15          350.70          595.85
  1943        25-29              269.17          307.62          576.79
  1943        30-34              303.19          333.68          636.87
  1943        35-39              372.23          456.93          829.16
  1943        40-44              467.30          584.18         1051.48
  1943        45-49              628.40          831.68         1460.08
  1943        50-54              820.51         1138.31         1958.82
  1943        55-59             1104.70         1644.34         2749.04
  1943        60-64             1455.92         2013.09         3469.01
  1943        65-69             1891.19         2420.90         4312.09
  1943        70-74             2226.41         2607.28         4833.69
  1943        75-79             2550.62         2581.23         5131.85
  1943        80-84             2357.50         2134.33         4491.83
  1943        85-89             1454.92         1285.60         2740.52
  1943        90-94              512.33          423.86          936.19
  1943        95-99              132.09           80.15          212.24
  1943       100-104              17.41            9.01           26.42
  1943       105-109               0.60            0.00            0.60
  1943       110+                  0.00            0.00            0.00
  1944           0              1413.23         1935.50         3348.73
  1944         1-4               289.05          328.42          617.47
  1944         5-9               112.01          233.32          345.33
  1944        10-14               87.00          144.19          231.19
  1944        15-19              157.02          271.34          428.36
  1944        20-24              231.05          281.38          512.43
  1944        25-29              255.05          263.35          518.40
  1944        30-34              292.05          317.40          609.45
  1944        35-39              326.05          434.57          760.62
  1944        40-44              440.06          558.72          998.78
  1944        45-49              601.10          862.11         1463.21
  1944        50-54              870.14         1246.61         2116.75
  1944        55-59             1042.17         1603.08         2645.25
  1944        60-64             1428.23         2028.63         3456.86
  1944        65-69             1811.29         2324.00         4135.29
  1944        70-74             2170.36         2619.40         4789.76
  1944        75-79             2463.40         2551.30         5014.70
  1944        80-84             2176.36         2020.61         4196.97
  1944        85-89             1359.22         1162.50         2521.72
  1944        90-94              522.09          354.46          876.55
  1944        95-99               96.01           78.10          174.11
  1944       100-104               8.99           10.01           19.00
  1944       105-109               0.00            0.00            0.00
  1944       110+                  0.00            0.00            0.00
  1945           0              1396.93         1815.69         3212.62
  1945         1-4               243.16          330.50          573.66
  1945         5-9               102.06          190.28          292.34
  1945        10-14               96.05          158.23          254.28
  1945        15-19              135.08          256.38          391.46
  1945        20-24              208.14          292.43          500.57
  1945        25-29              210.14          255.39          465.53
  1945        30-34              291.20          286.42          577.62
  1945        35-39              349.22          429.64          778.86
  1945        40-44              423.28          566.85          990.13
  1945        45-49              599.40          856.26         1455.66
  1945        50-54              826.56         1176.74         2003.30
  1945        55-59             1067.71         1626.41         2694.12
  1945        60-64             1438.96         2107.12         3546.08
  1945        65-69             1818.21         2439.62         4257.83
  1945        70-74             2185.46         2534.76         4720.22
  1945        75-79             2369.58         2547.78         4917.36
  1945        80-84             2122.42         2057.04         4179.46
  1945        85-89             1407.94         1175.74         2583.68
  1945        90-94              489.33          380.57          869.90
  1945        95-99              138.10           71.10          209.20
  1945       100-104              16.68            8.01           24.69
  1945       105-109               0.32            0.00            0.32
  1945       110+                  0.00            0.00            0.00
  1946           0              1544.60         2110.45         3655.05
  1946         1-4               280.11          356.24          636.35
  1946         5-9               129.05          180.13          309.18
  1946        10-14               83.04          137.09          220.13
  1946        15-19              132.05          205.14          337.19
  1946        20-24              197.08          291.20          488.28
  1946        25-29              220.10          276.18          496.28
  1946        30-34              266.10          310.21          576.31
  1946        35-39              330.13          402.27          732.40
  1946        40-44              391.15          578.40          969.55
  1946        45-49              608.24          834.57         1442.81
  1946        50-54              751.29         1200.82         1952.11
  1946        55-59             1086.43         1642.13         2728.56
  1946        60-64             1322.51         2067.41         3389.92
  1946        65-69             1744.68         2487.70         4232.38
  1946        70-74             2154.85         2543.74         4698.59
